Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_num_date_confidence	timetree_num_date_bar	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad	Mugration_Branch_Number	Mugration_Branch_Number_Confidence	Mugration_Branch_Number_Entropy	Mugration_Branch_Major	Mugration_Branch_Major_Confidence	Mugration_Branch_Major_Entropy	Mugration_Branch_Minor	Mugration_Branch_Minor_Confidence	Mugration_Branch_Minor_Entropy	Mugration_Country	Mugration_Country_Confidence	Mugration_Country_Entropy	Mugration_Country_Lat	Mugration_Country_Lon	Mugration_Province	Mugration_Province_Confidence	Mugration_Province_Entropy	Mugration_Province_Lat	Mugration_Province_Lon	geometry
NODE5	100.0	83.5	1.09091e-05	black	0.001032077557376925	6.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.106301565020433e-08	3.342155243046415	9.685398789845518e-06	-2324-01-01	-2323.99809887585	[-2349.128162339831, -2219.708468917131]	[4370.128162339831, 4240.7084689171315]	303.9465570773327	1644.270158423296	6.75	-2323.99809887585	3.207755737692516e-05	False	0	0.9999999959907767	8.700687074641938e-08	0.PRE	0.9999999920124988	1.743322874159497e-07	0.PRE1	0.9999999634148696	7.930070883166936e-07	Russia	0.5781245074918332	0.6847849316363986	64.6863136	97.7453061	Bavaria	0.9928975332718714	0.0571776743837802	48.9467562	11.4038717	POINT (11.4038717 48.9467562)
SAMEA104233049	NA	NA	2.55e-07	grey	0.001032292449196554	6	1343UnTal85	[-2396:-2148]	[-4417:-4169]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233049	KEEP: SRA Ancient	0	9.35102458912582e-09	1.0061024406108243	2.1489181962917133e-07	-2302-08-18	-2301.372448300641	[-2396.0, -2148.0]	[4417.0, 4169.0]	22.625650575208965	1666.895808998505	6.0	-2272.0	3.229244919655433e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Germany	0.9999999999999999	-9.99866855976916e-13	51.0834196	10.4234469	Bavaria	1.0	-1.000088900581841e-12	48.9467562	11.4038717	POINT (11.4038717 48.9467562)
NODE6	80.5	NA	1.27143e-05	black	0.001043706981177656	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8323131254538884e-08	3.0473635492382165	1.1629423800731093e-05	-1928-06-09	-1927.56366690154	[-1942.7064024517042, -1889.6215459829716]	[3963.706402451704, 3910.621545982972]	396.43443197430975	2040.7045903976057	7.5	-1927.56366690154	4.370698117765625e-05	False	0	0.9999999959949303	8.692090870521173e-08	0.PRE	0.999999992020299	1.7417063707842216e-07	0.PRE1	0.9999999634551061	7.921774204224266e-07	Russia	0.5782245119373113	0.6845061202375674	64.6863136	97.7453061	Bavaria	0.9914735650051909	0.05960484315537121	48.9467562	11.4038717	POINT (11.4038717 48.9467562)
SAMEA104233048	NA	NA	7.747e-07	grey	0.0010443518115713292	7	Post6	[-2007:-1882]	[-4028:-3903]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233048	KEEP: SRA Ancient	0	1.871289582968183e-08	2.0133719022654244	6.448303936732729e-07	-1895-01-16	-1894.9567016754752	[-1927.811193969155, -1882.0000000000007]	[3948.8111939691553, 3903.000000000001]	32.60696522606486	2073.3115556236708	7.0	-1944.5	4.4351811571329525e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Germany	1.0	-1.000088900581841e-12	51.0834196	10.4234469	Bavaria	1.0	-1.000088900581841e-12	48.9467562	11.4038717	POINT (11.4038717 48.9467562)
SAMEA3541826	NA	NA	3.2367e-06	grey	0.0010462867552513322	8	RISE505	[-1746:-1626]	[-3767:-3647]	Russia	Altai Krai	64.6863136	97.7453061	52.693224300000004	82.69314240000001	Bronze Age	0.PRE	0.PRE1	SAMEA3541826	KEEP: SRA Ancient	0	9.382807306234025e-09	1.0095220305121273	2.5797740736762755e-06	-1656-01-21	-1655.9429655890988	[-1728.5105115947472, -1626.0000000000002]	[3749.510511594747, 3647.0]	271.62070131244127	2312.325291710047	8.0	-1686.0	4.6286755251332526e-05	False	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Altai Krai	0.9999999999999999	-9.99866855976916e-13	52.6932243	82.69314240000001	POINT (82.69314240000001 52.6932243)
NODE7	100.0	55.6	5.184e-06	black	0.001004946025529612	31.379339829087257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2705783423143758e-08	1.3670501654720317	4.946025529611968e-06	-3619-04-14	-3618.715929984194	[-3677.9727842822676, -3131.2390105180193]	[5698.972784282268, 5152.239010518019]	349.4523273149516	349.55232731495164	31.379339829087257	-3618.715929984194	4.946025529611968e-06	False	0	0.9999999959866229	8.709282887493331e-08	0.PE	0.9986502489101032	0.010314416816612654	0.PE7	0.46044565366657136	1.6128393131134608	Russia	0.7870780519000578	0.5196544600899887	64.6863136	97.7453061	Qinghai	0.9889074671531152	0.09008739334049364	35.40709525	95.95211573241954	POINT (95.95211573241954 35.40709525)
NODE8	100.0	100.0	3.71597e-05	red	0.001037996351067723	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.921355641219824e-09	0.6370949306757062	3.305032553811121e-05	1955-07-14	1955.5316663170197	[1925.5157340423061, 1961.0]	[95.48426595769388, 60.0]	5574.247596301214	5923.799923616166	9.5	1955.5316663170197	3.799635106772318e-05	False	0	0.999999995994926	8.692099782787823e-08	0.PE	0.9999981723724731	2.6130901474773734e-05	0.PE7	0.999356670169729	0.006503873005068431	China	0.9893565557764824	0.05979682129257105	35.000074	104.999927	Qinghai	0.9999697138392246	0.0004374569892373916	35.40709525	95.95211573241954	POINT (95.95211573241954 35.40709525)
GCA_000323485.1_ASM32348v1_genomic	NA	NA	2.346e-07	grey	0.0010382112465185346	9	620024	1962	-59	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403008	KEEP: Assembly Modern Cui 2013 Keller 2019	0	1.6029504142415113e-08	1.7246584142468637	2.148954508114104e-07	1961-10-21	1961.803577569928	[1962.0, 1962.0]	[59.0, 59.0]	6.2719112529082395	5930.071834869074	9.0	1962.0	3.821124651853459e-05	False	0	1.0	-1.000088900581841e-12	0.PE	1.0	-1.000088900581841e-12	0.PE7	1.0	-1.000088900581841e-12	China	1.0	-1.000088900581841e-12	35.000074	104.999927	Qinghai	1.0	-1.000088900581841e-12	35.40709525	95.95211573241954	POINT (95.95211573241954 35.40709525)
GCA_000323845.1_ASM32384v1_genomic	NA	NA	2.35e-08	grey	0.001037996351067723	10	CMCC05009	1961	-60	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403027	KEEP: Assembly Modern Cui 2013	0	5.862786704710493e-09	0.6307933377962968	1.9453586459947504e-22	1960-10-19	1960.8002580103966	[1961.0, 1961.0]	[60.0, 60.0]	5.268591693376948	5929.068515309543	10.0	1961.0	3.799635106772318e-05	False	0	1.0	-1.000088900581841e-12	0.PE	1.0	-1.000088900581841e-12	0.PE7	1.0	-1.000088900581841e-12	China	1.0	-1.000088900581841e-12	35.000074	104.999927	Qinghai	1.0	-1.000088900581841e-12	35.40709525	95.95211573241954	POINT (95.95211573241954 35.40709525)
NODE9	100.0	94.4	1.86931e-05	black	0.0010217525850911534	53.258679658174515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.596365661311679e-08	1.7175736975611355	1.6806559561541387e-05	-2566-02-01	-2565.9145594177535	[-2586.862478138843, -2399.142313759956]	[4607.862478138843, 4420.142313759956]	1052.8013705664407	1402.3536978813922	53.258679658174515	-2565.9145594177535	2.1752585091153354e-05	False	0	0.9999999959907679	8.700704930707074e-08	0.PE	0.9999981698953285	2.6163836172801305e-05	0.PE2	0.4568845748041409	1.7687797713954359	Russia	0.7923421042013058	0.5135515250740638	64.6863136	97.7453061	Qinghai	0.9849248721086298	0.11762217747447833	35.40709525	95.95211573241954	POINT (95.95211573241954 35.40709525)
NODE10	100.0	99.8	3.67485e-05	red	0.001053939691480299	22.146484375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.238926079088459e-08	1.3329946253770097	3.218710638914565e-05	0109-12-08	109.93542243900788	[-128.21814179905823, 280.5569008339548]	[2149.2181417990582, 1740.4430991660452]	2675.8499818567616	4078.203679738154	22.146484375	109.93542243900788	5.3939691480299004e-05	False	0	0.9999999959907723	8.700696032836607e-08	0.PE	0.9999999872512978	2.6946275450469083e-07	0.PE2	0.9993439725676051	0.00678908383105847	Russia	0.9165134731336149	0.36267590624267076	64.6863136	97.7453061	Republic of Dagestan	0.37082128509909534	1.6293854591751864	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
NODE11	100.0	99.6	1.86279e-05	red	0.0010707464532155272	14.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0245082378652665e-08	1.1022965758648489	1.6806761735228115e-05	1678-01-05	1678.0110036441918	[1598.11522403545, 1750.765474746971]	[422.88477596455004, 270.234525253029]	1568.0755812051839	5646.279260943338	14.375	1678.0110036441918	7.074645321552712e-05	False	0	1.0	-1.0000887727855686e-12	0.PE	1.0	-1.0000883856229587e-12	0.PE2	1.0	-1.0000438657144455e-12	Russia	0.9999999999936423	1.693342472983151e-10	64.6863136	97.7453061	Republic of Dagestan	0.9999999999999226	1.2134205562892279e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_001294825.1_ASM129482v1_genomic	NA	NA	2.346e-07	grey	0.0010709613482980552	11	C-537	1984	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN03839871	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	9.294306634867748e-10	0.1	2.1489508252806964e-07	1983-11-16	1983.8766078796154	[1984.0, 1984.0]	[37.0, 37.0]	305.8656042354237	5952.144865178761	11.0	1984.0	7.096134829805519e-05	False	0	1.0	-1.000088900581841e-12	0.PE	1.0	-1.000088900581841e-12	0.PE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	1.0	-1.000088900581841e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_002127375.1_ASM212737v1_genomic	NA	NA	9.384e-07	grey	0.001071606093865875	13	C-739	1998	-23	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04992974	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	5.81194327684245e-09	0.6253229536282832	8.596406503479546e-07	1997-12-03	1997.923081713053	[1998.0, 1998.0]	[23.0, 23.0]	112.46378872426703	5758.743049667605	13.0	1998.0	7.225081987819139e-05	False	0	1.0	-1.000088900581841e-12	0.PE	1.0	-1.000088900581841e-12	0.PE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	1.0	-1.000088900581841e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_006376585.1_ASM637658v1_genomic	NA	NA	2.35e-08	grey	0.0010707464532155272	12	C-371	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN12012142	KEEP: Assembly Modern	0	9.294306634867748e-10	0.1	2.8238711605389135e-22	1977-11-09	1977.856690522428	[1978.0, 1978.0]	[43.0, 43.0]	299.84568687823617	5946.124947821574	12.0	1978.0	7.074645321552712e-05	False	0	1.0	-1.000088900581841e-12	0.PE	1.0	-1.000088900581841e-12	0.PE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	1.0	-1.000088900581841e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
NODE17	100.0	53.3	1.4076e-06	black	0.0010720360118671088	14.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1437687801389365e-08	2.3065397606923703	1.2895586515815696e-06	1735-01-22	1735.0601561192734	[1639.4327094405141, 1789.3200645269803]	[381.56729055948585, 231.67993547301967]	57.049152475081655	5703.32841341842	14.5	1735.0601561192734	7.20360118671087e-05	False	0	0.9999999959990755	8.683511640189492e-08	0.PE	0.999999989725891	2.211991074609594e-07	0.PE2	0.9999999608001702	8.475309477245249e-07	Russia	0.9999961154574506	5.880536671828582e-05	64.6863136	97.7453061	Republic of Dagestan	0.9999990080777156	1.9315890073797212e-05	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_002127355.1_ASM212735v1_genomic	NA	NA	2.8244e-06	grey	0.0010746155957097581	14	C-712	1996	-25	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04993042	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	9.277900196245533e-09	0.9982347861689149	2.5795838426492256e-06	1995-12-01	1995.9164425939905	[1996.0, 1996.0]	[25.0, 25.0]	260.8562864747171	5964.184699893137	14.0	1996.0	7.461559570975792e-05	False	0	0.9999999999999999	-9.99866855976916e-13	0.PE	1.0	-1.000088900581841e-12	0.PE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	1.0	-1.000088900581841e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_002127365.1_ASM212736v1_genomic	NA	NA	9.7353e-06	grey	0.001080860160993576	15	C-746	1997	-24	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04992968	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	3.099654418650632e-08	3.3350033955434895	8.824149126467206e-06	1996-12-02	1996.9197621535218	[1997.0, 1997.0]	[24.0, 24.0]	261.8596060342484	5965.1880194526675	15.0	1997.0	8.08601609935759e-05	False	0	0.9999999999999999	-9.99866855976916e-13	0.PE	1.0	-1.000088900581841e-12	0.PE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	1.0	-1.000088900581841e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_001972465.1_ASM197246v1_genomic	NA	NA	8.5679e-06	grey	0.001078491489450494	16	C-370	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN05521420	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	3.31608969236107e-08	3.5678720561259554	7.745036234966758e-06	1977-11-09	1977.856690522428	[1978.0, 1978.0]	[43.0, 43.0]	208.57518844146261	5854.8544493848	16.0	1978.0	8.085581854383842e-05	False	0	1.0	-1.000088900581841e-12	0.PE	1.0	-1.000088900581841e-12	0.PE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	1.0	-1.000088900581841e-12	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
NODE20	78.0	72.2	7.038e-07	black	0.0010713911654237091	17.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.074057444950982e-09	0.330746290790386	6.447122081819065e-07	1899-02-23	1899.1475572895333	[1667.7338173972523, 1988.0]	[353.2661826027477, 33.0]	221.13655364534156	5867.4158145886795	17.75	1899.1475572895333	7.139116542370903e-05	False	0	0.9999999959949306	8.692090458859324e-08	0.PE	0.9999999897145506	2.214305783944542e-07	0.PE2	0.9999999607577877	8.484044024982605e-07	Russia	0.9999960769451951	5.933013077163901e-05	64.6863136	97.7453061	Republic of Dagestan	0.9999978004320038	4.109157535979403e-05	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
GCA_008630415.1_ASM863041v1_genomic	NA	NA	2.135e-06	grey	0.0010733284030734693	17	C-672	1988	-33	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN12720423	KEEP: Assembly Modern	0	1.6597719615258932e-08	1.7857942789397874	1.9372376497601773e-06	1987-11-21	1987.8898861177406	[1988.0, 1988.0]	[33.0, 33.0]	88.74232882820729	5956.158143416887	17.0	1988.0	7.33284030734692e-05	False	0	0.9999999999999999	-9.99866855976916e-13	0.PE	1.0	-1.000088900581841e-12	0.PE2	0.9999999999999999	-9.99866855976916e-13	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Republic of Dagestan	0.9999999999999999	-9.99866855976916e-13	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
NODE23	93.0	49.4	4.692e-07	black	0.0010718209615791765	18.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.020384309976335e-09	0.4325641995599538	4.2979615546735564e-07	1985-10-28	1985.8243484192546	[1628.0424403662807, 2011.0]	[392.95755963371926, 10.0]	86.67679112972132	5954.092605718401	18.5	1985.8243484192546	7.182096157917638e-05	False	0	0.9999999959949346	8.692081957796115e-08	0.PE	0.9999999897145605	2.2143037286606984e-07	0.PE2	0.9999999607578262	8.48403608201469e-07	Russia	0.9999960769453665	5.933012808361958e-05	64.6863136	97.7453061	Republic of Dagestan	0.9995290850675755	0.0062870033037284246	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)
