Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Biogroup	Alternative Name	Species	Disease	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	O Serotype	Contact Name	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Species	Contig Number	No. N's	Assembly Barcode
YER_AA1064AA	4139	SRR857262;ILLUMINA;Single;;SRX282096	Companion Animal	Feline	cat	1995				North America	United States	New Mexico						THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991261	SRS424553			2015-08-27	2013-05-18	YER_AA1064AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1065AA	1866	SRR857261;ILLUMINA;Single;;SRX282095	Food	Plant	Squirrel					North America	United States	New Mexico						THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991262	SRS424552			2015-08-27	2013-05-18	YER_AA1065AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1066AA	8607116	SRR857255;ILLUMINA;Single;;SRX282094	Companion Animal	Canine	Dog					North America	United States	New Mexico						THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991263	SRS424551			2015-08-27	2013-05-18	YER_AA1066AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1067AA	TS (D5)	SRR857248;ILLUMINA;Single;;SRX282093								Asia								THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991264	SRS424550			2015-08-27	2013-05-18	YER_AA1067AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1068AA	KUMA (D11)	SRR857246;ILLUMINA;Single;;SRX282092								Asia	China	Liaoning Sheng						THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991265	SRS424549			2015-08-27	2013-05-18	YER_AA1068AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1069AA	Kimberley (D17)	SRR857245;ILLUMINA;Single;;SRX282091								Asia								THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991266	SRS424548			2015-08-27	2013-05-18	YER_AA1069AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1070AA	Java (D88)	SRR857244;ILLUMINA;Single;;SRX282090								Asia								THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991267	SRS424547			2015-08-27	2013-05-18	YER_AA1070AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1071AA	1901b	SRR857243;ILLUMINA;Single;;SRX282089	Human	Human	ND	1983				North America	United States	New Mexico						THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991268	SRS424546			2015-08-27	2013-05-18	YER_AA1071AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1072AA	4954	SRR857242;ILLUMINA;Single;;SRX282065	Human	Human	ND	1987				North America	United States	New Mexico						THE GEORGE WASHINGTON UNIVERSITY			Yersinia pestis			PRJNA194125	SRP022877	SAMN01991269	SRS424521			2015-08-27	2013-05-18	YER_AA1072AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1074AA	KIM D27	SRR619318;LS454;Paired;8000;SRX205907																JCVI			Yersinia pestis			PRJNA41469	SRP001358	SAMN01818177	SRS376627			2015-08-27	2012-11-21	YER_AA1074AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1075AA	KIM D27	SRR133640;ILLUMINA;Paired;300;SRX048908																JCVI			Yersinia pestis			PRJNA41469	SRP001358	SAMN00222601	SRS178859			2015-08-27	2011-04-06	YER_AA1075AA	Assembled	0	2.2	37684	4508521	Yersinia pestis;100.0%	218	8550	YER_CA3261AA_AS
YER_AA1076AA	KIM D27	SRR029367;LS454;Paired;8000;SRX012379,SRR029368;LS454;Paired;8000;SRX012379																JCVI			Yersinia pestis			PRJNA41469	SRP001358	SAMN00004706	SRS006933			2015-08-27	2009-11-02	YER_AA1076AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1077AA	G1670A	SRR677780;LS454;Single;;SRX226623																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA38409	SRP018289	SAMN01909378	SRS391123			2015-08-27	2013-04-24	YER_AA1077AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1078AA	G3768	SRR653849;LS454;Single;;SRX220654																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA38305	SRP018290	SAMN01902220	SRS388212			2015-08-27	2013-04-24	YER_AA1078AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1079AA	G1670E	SRR653848;LS454;Single;;SRX220653																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA38409	SRP018289	SAMN01902219	SRS388211			2015-08-27	2013-04-24	YER_AA1079AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1080AA	G1670	SRR653847;LS454;Single;;SRX220652																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA38409	SRP018289	SAMN01902218	SRS388210			2015-08-27	2013-04-24	YER_AA1080AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1081AA	AS200902147	SRR639261;LS454;Single;;SRX212331																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73109	SRP017655	SAMN01831187	SRS379554			2015-08-27	2013-01-02	YER_AA1081AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1082AA	BA200902009	SRR639260;LS454;Single;;SRX212330																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73107	SRP017654	SAMN01831186	SRS379553			2015-08-27	2013-01-02	YER_AA1082AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1083AA	BA200901990	SRR639259;LS454;Single;;SRX212329																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73105	SRP017653	SAMN01831185	SRS379552			2015-08-27	2013-01-02	YER_AA1083AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1084AA	BA200901799	SRR639250;LS454;Single;;SRX212324																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA72923	SRP017652	SAMN01831184	SRS379551			2015-08-27	2013-01-02	YER_AA1084AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1085AA	BA200901703	SRR639249;LS454;Single;;SRX212323																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73103	SRP017650	SAMN01831183	SRS379550			2015-08-27	2013-01-02	YER_AA1085AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1086AA	AS200901539	SRR639248;LS454;Single;;SRX212322																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73099	SRP017649	SAMN01831182	SRS379549			2015-08-27	2013-01-02	YER_AA1086AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1087AA	AS200901509	SRR639247;LS454;Single;;SRX212321																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73113	SRP017648	SAMN01831181	SRS379548			2015-08-27	2013-01-02	YER_AA1087AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1088AA	AS200901434	SRR631347;LS454;Single;;SRX209830																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73111	SRP017558	SAMN01831180	SRS379547			2015-08-27	2013-01-02	YER_AA1088AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1089AA	AS200901156	SRR631346;LS454;Single;;SRX209829																US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CENTER			Yersinia pestis			PRJNA73101	SRP017557	SAMN01831179	SRS379546			2015-08-27	2013-01-02	YER_AA1089AA	NEW	NaN	NaN	NaN	NaN		NaN	NaN	
YER_AA1090AA	PY-01	SRR354045;ILLUMINA;Paired;;SRX101667	Wild Animal	Rodent	house mouse	2006				South America	Peru	Cajamarca	Chota					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64281	SRP009030	SAMN00739929	SRS267443			2015-08-27	2011-10-20	YER_AA1090AA	Assembled	58.52	2.2	34863	4690313	Yersinia pestis;99.61%	314	9641	YER_CA4494AA_AS
YER_AA1091AA	PY-02	SRR332555;ILLUMINA;Paired;;SRX092661	Wild Animal	Rodent	black rat	2006				South America	Peru	Lima	Lima					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64283	SRP007920	SAMN00710637	SRS258342			2015-08-27	2011-08-23	YER_AA1091AA	Assembled	54.7	2.2	32792	4685977	Yersinia pestis;99.64%	289	8983	YER_CA4252AA_AS
YER_AA1092AA	PY-99	SRR329634;ILLUMINA;Paired;;SRX090797	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64387	SRP007760	SAMN00706783	SRS256247			2015-08-27	2011-08-11	YER_AA1092AA	Assembled	52.9	2.2	36148	4690598	Yersinia pestis;99.6%	284	3145	YER_CA4407AA_AS
YER_AA1093AA	PY-98	SRR329494;ILLUMINA;Paired;;SRX090648	Human	Human	Homo sapiens	2010				South America	Peru	La Libertad	Ascope Province	Ascope		-7.6	-79	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64385	SRP007755	SAMN00706755	SRS256219			2015-08-27	2011-08-10	YER_AA1093AA	Assembled	222.69	2.2	36187	4687134	Yersinia pestis;99.61%	281	5886	YER_CA4471AA_AS
YER_AA1094AA	PY-96	SRR329493;ILLUMINA;Paired;;SRX090647	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64383	SRP007754	SAMN00706754	SRS256218			2015-08-27	2011-08-10	YER_AA1094AA	Assembled	205.04	2.2	32997	4679895	Yersinia pestis;99.62%	300	4640	YER_CA3580AA_AS
YER_AA1095AA	PY-95	SRR329492;ILLUMINA;Paired;;SRX090646	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64381	SRP007753	SAMN00706753	SRS256217			2015-08-27	2011-08-10	YER_AA1095AA	Assembled	75.16	2.2	37785	4684235	Yersinia pestis;99.56%	259	3541	YER_CA4736AA_AS
YER_AA1096AA	PY-94	SRR329491;ILLUMINA;Paired;;SRX090645	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64379	SRP007752	SAMN00706752	SRS256216			2015-08-27	2011-08-10	YER_AA1096AA	Assembled	49.05	2.2	37717	4679376	Yersinia pestis;99.58%	274	4015	YER_CA4504AA_AS
YER_AA1097AA	PY-93	SRR329489;ILLUMINA;Paired;;SRX090644	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64377	SRP007751	SAMN00706751	SRS256215			2015-08-27	2011-08-10	YER_AA1097AA	Assembled	79.45	2.2	34221	4677410	Yersinia pestis;99.61%	293	4079	YER_CA3247AA_AS
YER_AA1098AA	PY-92	SRR329488;ILLUMINA;Paired;;SRX090632	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Provincia de Chota	Chota				University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64375	SRP007747	SAMN00704295	SRS256209			2015-08-27	2011-08-10	YER_AA1098AA	Assembled	227.58	2.2	35974	4689818	Yersinia pestis;99.58%	265	3329	YER_CA3298AA_AS
YER_AA1099AA	PY-91	SRR329487;ILLUMINA;Paired;;SRX090631	Wild Animal	Rodent	black rat	2010				South America	Peru	Cajamarca	Chota Province	Chota		-6.5	-78.6	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64373	SRP007746	SAMN00704294	SRS256208			2015-08-27	2011-08-10	YER_AA1099AA	Assembled	207.86	2.2	34035	4680505	Yersinia pestis;99.61%	290	5079	YER_CA6538AA_AS
YER_AA1100AA	PY-90	SRR329486;ILLUMINA;Paired;;SRX090630																University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64371	SRP007745	SAMN00704293	SRS256207			2015-08-27	2011-08-10	YER_AA1100AA	Assembled	214	4	34243	4678291	Yersinia pestis;100.0%	273	47443	YER_DA0815AA_AS
YER_AA1101AA	PY-89	SRR329485;ILLUMINA;Paired;;SRX090629	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Pacasmayo	Guadalupe		-7.2	-79.3	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64369	SRP007744	SAMN00704292	SRS256206			2015-08-27	2011-08-10	YER_AA1101AA	Assembled	182.97	2.2	32857	4679533	Yersinia pestis;98.88%	316	7384	YER_CA4432AA_AS
YER_AA1102AA	PY-88	SRR329484;ILLUMINA;Paired;;SRX090628	Wild Animal	Rodent	black rat	2010				South America	Peru	La Libertad	Pacasmayo	Guadalupe		-7.2	-79.3	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64367	SRP007743	SAMN00704291	SRS256205			2015-08-27	2011-08-10	YER_AA1102AA	Assembled	185.47	2.2	32836	4676080	Yersinia pestis;99.64%	300	6236	YER_CA4617AA_AS
YER_AA1103AA	PY-76	SRR329483;ILLUMINA;Paired;;SRX090627	Wild Animal	Rodent	cotton rat	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64365	SRP007742	SAMN00704290	SRS256204			2015-08-27	2011-08-10	YER_AA1103AA	Assembled	26.59	2.2	42630	4514684	Yersinia pestis;99.03%	233	2890	YER_CA4709AA_AS
YER_AA1104AA	PY-72	SRR329482;ILLUMINA;Paired;;SRX090626	Wild Animal	Rodent	black rat	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64363	SRP007741	SAMN00704289	SRS256203			2015-08-27	2011-08-10	YER_AA1104AA	Assembled	68.96	2.2	36730	4514616	Yersinia pestis;99.56%	269	3873	YER_CA3495AA_AS
YER_AA1105AA	PY-71	SRR329481;ILLUMINA;Paired;;SRX090625	Wild Animal	Rodent	black rat	2010												University of Maryland Institute for Genome Sciences			Yersinia pestis		Originally attributed to Peru. Probably a contaminant based on A-1122.	PRJNA64361	SRP007740	SAMN00704288	SRS256202			2015-08-27	2011-08-10	YER_AA1105AA	Assembled	218.21	2.2	39369	4519276	Yersinia pestis;99.55%	251	3623	YER_CA5781AA_AS
YER_AA1106AA	PY-65	SRR329480;ILLUMINA;Paired;;SRX090624	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo	Salaverry		-8.1	-78.9	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64357	SRP007739	SAMN00704287	SRS256201			2015-08-27	2011-08-10	YER_AA1106AA	Assembled	0	2.2	35132	4685139	Yersinia pestis;99.6%	283	3893	YER_CA3318AA_AS
YER_AA1107AA	PY-60	SRR329479;ILLUMINA;Paired;;SRX090623	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64349	SRP007738	SAMN00704286	SRS256200			2015-08-27	2011-08-10	YER_AA1107AA	Assembled	275.77	2.2	33265	4681808	Yersinia pestis;99.21%	297	3417	YER_CA3542AA_AS
YER_AA1108AA	PY-56	SRR329478;ILLUMINA;Paired;;SRX090622	Companion Animal	Canine	dog	2010				South America	Peru	La Libertad	Ascope Province					University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64343	SRP007737	SAMN00704285	SRS256199			2015-08-27	2011-08-10	YER_AA1108AA	Assembled	46.85	2.2	36174	4678306	Yersinia pestis;99.6%	287	4954	YER_CA4518AA_AS
YER_AA1109AA	PY-66	SRR329477;ILLUMINA;Paired;;SRX090621	Wild Animal	Rodent	Norway rat	2010				South America	Peru	La Libertad	Trujillo	Salaverry		-8.1	-78.9	University of Maryland Institute for Genome Sciences			Yersinia pestis			PRJNA64359	SRP007736	SAMN00704284	SRS256198			2015-08-27	2011-08-10	YER_AA1109AA	Assembled	71.05	2.2	25301	4630562	Yersinia pestis;99.68%	348	23512	YER_CA3475AA_AS
