id	Nucleotide_id	NucleotideAccession	NucleotideAccessionVersion	NucleotideBioSampleAccession	NucleotideBioProjectAccession	NucleotideFirstAccession	NucleotideLastAccession	NucleotideOrganism	NucleotideTaxonomy	NucleotideDefinition	NucleotideDivision	NucleotideJournal	NucleotideLength	NucleotideMoleculeType	NucleotideReferenceTitle	NucleotideSeqDataName	NucleotideSource	NucleotideStrandedness	NucleotideTopology	NucleotideCreateDate	NucleotideUpdateDate	NucleotideGenBankComment	NucleotideAnnotationDate	NucleotideAnnotationMethod	NucleotideAnnotationPipeline	NucleotideAnnotationProvider	NucleotideAnnotationSoftwarerevision	NucleotideAssemblyDate	NucleotideAssemblyMethod	NucleotideAssemblyName	NucleotidetCDS	NucleotidetCDSCoding	NucleotidetCRISPRArrays	NucleotidetExpectedFinalVersion	NucleotidetFeaturesAnnotated	NucleotidetGenes	NucleotidetGenesCoding	NucleotidetGenesRNA	NucleotidetGenomeCoverage	NucleotidetGenomeRepresentation	NucleotidetncRNAs	NucleotidetPseudoGenes	NucleotidetPseudoGenesAmbResidues	NucleotidetPseudoGenesFrameshifted	NucleotidetPseudoGenesIncomplete	NucleotidetPseudoGenesInternalStop	NucleotidetPseudoGenesMultipleProblems	NucleotidetrRNAs	NucleotidetrRNAsComplete	NucleotidetrRNAsPartial	NucleotideSequencingTechnology	NucleotidetRNAs	NucleotideComment
75	1016393355	LQAX00000000	LQAX00000000.1	SAMN04376048	PRJNA307162	LQAX01000001	LQAX01000255	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain M-519, whole genome shotgun sequencing project	BCT	Submitted (29-DEC-2015) Microbiology, Russian Research Anti-Plague institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	255	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	08-APR-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LQAX00000000. This version of the project (01) has the accession number LQAX01000000, and consists of sequences LQAX01000001-LQAX01000255.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: JUN-2015 ; Assembly Method :: Newbler v. 2,6 ; Assembly Name :: Yersinia pestis_M-519 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/30/2015 10:22:26 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,225 ; CDS :: 3,930 ; Pseudo Genes :: 236 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 50 ; ncRNAs :: 5 ; ##Genome-Annotation-Data-END##	12/30/2015 10:22:26	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	JUN-2015	Newbler v. 26	Yersinia pestis_M-519	3930	None	None	Yes	Gene	4225	None	None	48.0x	Full	5	236	None	None	None	None	None	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	50	None
76	1016042202	LPXT00000000	LPXT00000000.1	SAMN04364306	PRJNA306809	LPXT01000001	LPXT01000435	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain M-978, whole genome shotgun sequencing project	BCT	Submitted (23-DEC-2015) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	435	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	07-APR-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LPXT00000000. This version of the project (01) has the accession number LPXT01000000, and consists of sequences LPXT01000001-LPXT01000435.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: SEP-2013 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/23/2015 13:56:31 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,317 ; CDS :: 3,720 ; Pseudo Genes :: 521 ; CRISPR Arrays :: 1 ; rRNAs :: 2, 2, 3 (5S, 16S, 23S) ; partial rRNAs :: 2, 2, 3 (5S, 16S, 23S) ; tRNAs :: 62 ; ncRNAs :: 7 ; ##Genome-Annotation-Data-END##	12/23/2015 13:56:31	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	SEP-2013	Newbler v. 2.6	None	3720	None	1	Yes	Gene	4317	None	None	48.0x	Full	7	521	None	None	None	None	None	2 2 3 (5S 16S 23S)	None	2 2 3 (5S 16S 23S)	IonTorrent	62	None
77	1016036014	LPXS00000000	LPXS00000000.1	SAMN04364301	PRJNA306803	LPXS01000001	LPXS01000388	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain 1116-D, whole genome shotgun sequencing project	BCT	Submitted (23-DEC-2015) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	388	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	07-APR-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LPXS00000000. This version of the project (01) has the accession number LPXS01000000, and consists of sequences LPXS01000001-LPXS01000388.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/23/2015 13:53:26 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,282 ; CDS :: 969 ; Pseudo Genes :: 3,243 ; CRISPR Arrays :: 2 ; rRNAs :: 2, 1, 2 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; partial rRNAs :: 1 (23S) ; tRNAs :: 62 ; ncRNAs :: 3 ; ##Genome-Annotation-Data-END##	12/23/2015 13:53:26	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	None	Newbler v. 2.6	None	969	None	2	Yes	Gene	4282	None	None	48.0x	Full	3	3243	None	None	None	None	None	2 1 2 (5S 16S 23S)	2 1 1 (5S 16S 23S)	1 (23S)	IonTorrent	62	None
78	1016031106	LPXU00000000	LPXU00000000.1	SAMN04364500	PRJNA306824	LPXU01000001	LPXU01000246	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain KM-816, whole genome shotgun sequencing project	BCT	Submitted (23-DEC-2015) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	246	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	07-APR-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LPXU00000000. This version of the project (01) has the accession number LPXU01000000, and consists of sequences LPXU01000001-LPXU01000246.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: MAY-2015 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/23/2015 14:00:25 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,221 ; CDS :: 3,959 ; Pseudo Genes :: 201 ; CRISPR Arrays :: 3 ; rRNAs :: 1, 1 (16S, 23S) ; complete rRNAs :: 1, 1 (16S, 23S) ; tRNAs :: 49 ; ncRNAs :: 10 ; ##Genome-Annotation-Data-END##	12/23/2015 14:00:25	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	MAY-2015	Newbler v. 2.6	None	3959	None	3	Yes	Gene	4221	None	None	48.0x	Full	10	201	None	None	None	None	None	1 1 (16S 23S)	1 1 (16S 23S)	None	IonTorrent	49	None
79	1011741625	LPVG00000000	LPVG00000000.1	SAMN04357319	PRJNA306613	LPVG01000001	LPVG01000285	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain I1996, whole genome shotgun sequencing project	BCT	Submitted (21-DEC-2015) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	285	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	28-MAR-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LPVG00000000. This version of the project (01) has the accession number LPVG01000000, and consists of sequences LPVG01000001-LPVG01000285.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: APR-2015 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/21/2015 13:00:45 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,268 ; CDS :: 3,504 ; Pseudo Genes :: 692 ; CRISPR Arrays :: 3 ; rRNAs :: 2, 1, 2 (5S, 16S, 23S) ; complete rRNAs :: 2, 1 (5S, 16S) ; partial rRNAs :: 2 (23S) ; tRNAs :: 64 ; ncRNAs :: 3 ; ##Genome-Annotation-Data-END##	12/21/2015 13:00:45	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	APR-2015	Newbler v. 2.6	None	3504	None	3	Yes	Gene	4268	None	None	48.0x	Full	3	692	None	None	None	None	None	2 1 2 (5S 16S 23S)	2 1 (5S 16S)	2 (23S)	IonTorrent	64	None
80	1008734015	LOHR00000000	LOHR00000000.1	SAMN04329024	PRJNA305573	LOHR01000001	LOHR01000292	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain M-1864, whole genome shotgun sequencing project	BCT	Submitted (10-DEC-2015) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	292	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	21-MAR-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LOHR00000000. This version of the project (01) has the accession number LOHR01000000, and consists of sequences LOHR01000001-LOHR01000292.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: MAR-2015 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/10/2015 14:57:49 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,242 ; CDS :: 3,715 ; Pseudo Genes :: 455 ; CRISPR Arrays :: 2 ; rRNAs :: 2, 2, 2 (5S, 16S, 23S) ; complete rRNAs :: 2, 1 (5S, 23S) ; partial rRNAs :: 2, 1 (16S, 23S) ; tRNAs :: 63 ; ncRNAs :: 3 ; ##Genome-Annotation-Data-END##	12/10/2015 14:57:49	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	MAR-2015	Newbler v. 2.6	None	3715	None	2	Yes	Gene	4242	None	None	48.0x	Full	3	455	None	None	None	None	None	2 2 2 (5S 16S 23S)	2 1 (5S 23S)	2 1 (16S 23S)	IonTorrent	63	None
81	992101602	LPQY00000000	LPQY00000000.1	SAMN04331740	PRJNA305705	LPQY01000001	LPQY01000402	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain KM918, whole genome shotgun sequencing project	BCT	Submitted (11-DEC-2015) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	402	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	11-FEB-2016	23-JUL-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LPQY00000000. This version of the project (01) has the accession number LPQY01000000, and consists of sequences LPQY01000001-LPQY01000402.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: FEB-2015 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 12/17/2015 15:14:06 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.0 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,289 ; CDS :: 2,158 ; Pseudo Genes :: 2,063 ; CRISPR Arrays :: 3 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 61 ; ncRNAs :: 3 ; ##Genome-Annotation-Data-END##	12/17/2015 15:14:06	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	3.0	FEB-2015	Newbler v. 2.6	None	2158	None	3	Yes	Gene	4289	None	None	48.0x	Full	3	2063	None	None	None	None	None	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	61	None
82	668666219	JMUF00000000	JMUF00000000.1	SAMN02777961	PRJNA247716	JMUF01000001	JMUF01000298	Yersinia pestis subsp. pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis subsp. pestis strain 231(708), whole genome shotgun sequencing project	BCT	Submitted (15-MAY-2014) Microbiology, Russian Research Antiplague Institute Microbe, Universitetskaya, Saratov 410005, Russian Federation	298	DNA	Direct Submission	WGS	Yersinia pestis subsp. pestis	double	linear	28-JUL-2014	23-JUL-2018	The Yersinia pestis subsp. pestis whole genome shotgun (WGS) project has the project accession JMUF00000000. This version of the project (01) has the accession number JMUF01000000, and consists of sequences JMUF01000001-JMUF01000298.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Method :: Newbler v. November-2013 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 58.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/16/2014 18:39:41 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 2.5 (rev. 434703) ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,067 ; CDS :: 3,659 ; Pseudo Genes :: 335 ; CRISPR Arrays :: 3 ; rRNAs :: 4 (5S, 16S, 23S) ; tRNAs :: 58 ; ncRNA :: 11 ; Frameshifted Genes :: 327 ; ##Genome-Annotation-Data-END##	05/16/2014 18:39:41	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	2.5 (rev. 434703)	None	Newbler v. November-2013	None	3659	None	3	Yes	Gene	4067	None	None	58.0x	Full	None	335	None	None	None	None	None	4 (5S 16S 23S)	None	None	IonTorrent	58	None
83	1431044319	QFGC00000000	QFGC00000000.1	SAMN09111775	PRJNA470808	QFGC01000001	QFGC01000147	Vibrio cholerae	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio	Vibrio cholerae strain 10213D, whole genome shotgun sequencing project	BCT	Submitted (10-MAY-2018) The Federal Service for Supervision of Consumer Rights Protection and Human Welfare, Stavropol Plague Control Reseach Institute, Sovetskaya Str. 13-15, Stavropol 355035, Russian Federation	147	DNA	Direct Submission	WGS	Vibrio cholerae	double	linear	18-JUL-2018	18-JUL-2018	The Vibrio cholerae whole genome shotgun (WGS) project has the project accession QFGC00000000. This version of the project (01) has the accession number QFGC01000000, and consists of sequences QFGC01000001-QFGC01000147.; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 2016 ; Assembly Method :: Newbler v. 3.0 ; Genome Representation :: Full ; Expected Final Version :: No ; Genome Coverage :: 100.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##	None	None	None	None	None	2016	Newbler v. 3.0	None	None	None	None	No	None	None	None	None	100.0x	Full	None	None	None	None	None	None	None	None	None	None	IonTorrent	None	None
84	1411516986	UAVH00000000	UAVH00000000.1	SAMEA104281628	PRJEB6403	UAVH01000001	UAVH01000012	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain NCTC5923, whole genome shotgun sequencing project	BCT	Submitted (06-JUN-2018) WTSI, Pathogen Informatics, Wellcome Trust Sanger Institute, CB10 1SA, United Kingdom	12	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	16-JUN-2018	16-JUN-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession UAVH00000000. This version of the project (01) has the accession number UAVH01000000, and consists of sequences UAVH01000001-UAVH01000012.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
85	1409436279	QLVB00000000	QLVB00000000.1	SAMN09464365	PRJNA477260	QLVB01000001	QLVB01000172	Burkholderia pseudomallei	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group	Burkholderia pseudomallei strain 4802R, whole genome shotgun sequencing project	BCT	Submitted (21-JUN-2018) Micribiology, Volgograd Plague Control Research Institute, Golubinskaya 7, Volgograd 4000131, Russian Federation	172	DNA	Direct Submission	WGS	Burkholderia pseudomallei	double	linear	26-JUN-2018	26-JUN-2018	The Burkholderia pseudomallei whole genome shotgun (WGS) project has the project accession QLVB00000000. This version of the project (01) has the accession number QLVB01000000, and consists of sequences QLVB01000001-QLVB01000172.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: MAR-2018 ; Assembly Method :: SPAdes v. 3.11.1 ; Genome Representation :: Full ; Expected Final Version :: No ; Genome Coverage :: 473.1x ; Sequencing Technology :: Illumina MiSeq ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/21/2018 17:17:05 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 4.5 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 7,569 ; CDS (total) :: 7,509 ; Genes (coding) :: 7,072 ; CDS (coding) :: 7,072 ; Genes (RNA) :: 60 ; rRNAs :: 1, 1 (5S, 16S) ; complete rRNAs :: 1, 1 (5S, 16S) ; tRNAs :: 54 ; ncRNAs :: 4 ; Pseudo Genes (total) :: 437 ; Pseudo Genes (ambiguous residues) :: 2 of 437 ; Pseudo Genes (frameshifted) :: 263 of 437 ; Pseudo Genes (incomplete) :: 192 of 437 ; Pseudo Genes (internal stop) :: 41 of 437 ; Pseudo Genes (multiple problems) :: 53 of 437 ; ##Genome-Annotation-Data-END##	06/21/2018 17:17:05	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	4.5	MAR-2018	SPAdes v. 3.11.1	None	7509	7072	None	No	Gene	7569	7072	60	473.1x	Full	4	437	2 of 437	263 of 437	192 of 437	41 of 437	53 of 437	1 1 (5S 16S)	1 1 (5S 16S)	None	Illumina MiSeq	54	None
86	1409431780	QLUZ00000000	QLUZ00000000.1	SAMN09464367	PRJNA477262	QLUZ01000001	QLUZ01000070	Burkholderia cepacia	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex	Burkholderia cepacia strain PT02, whole genome shotgun sequencing project	BCT	Submitted (21-JUN-2018) Micribiology, Volgograd Plague Control Research Institute, Golubinskaya 7, Volgograd 4000131, Russian Federation	70	DNA	Direct Submission	WGS	Burkholderia cepacia	double	linear	26-JUN-2018	26-JUN-2018	The Burkholderia cepacia whole genome shotgun (WGS) project has the project accession QLUZ00000000. This version of the project (01) has the accession number QLUZ01000000, and consists of sequences QLUZ01000001-QLUZ01000070.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: APR-2018 ; Assembly Method :: SPAdes v. 3.11.1 ; Genome Representation :: Full ; Expected Final Version :: No ; Genome Coverage :: 204.3x ; Sequencing Technology :: Illumina MiSeq ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/21/2018 18:39:36 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 4.5 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 7,857 ; CDS (total) :: 7,787 ; Genes (coding) :: 7,467 ; CDS (coding) :: 7,467 ; Genes (RNA) :: 70 ; rRNAs :: 1, 3, 3 (5S, 16S, 23S) ; complete rRNAs :: 1 (5S) ; partial rRNAs :: 3, 3 (16S, 23S) ; tRNAs :: 59 ; ncRNAs :: 4 ; Pseudo Genes (total) :: 320 ; Pseudo Genes (ambiguous residues) :: 1 of 320 ; Pseudo Genes (frameshifted) :: 146 of 320 ; Pseudo Genes (incomplete) :: 218 of 320 ; Pseudo Genes (internal stop) :: 61 of 320 ; Pseudo Genes (multiple problems) :: 93 of 320 ; ##Genome-Annotation-Data-END##	06/21/2018 18:39:36	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	4.5	APR-2018	SPAdes v. 3.11.1	None	7787	7467	None	No	Gene	7857	7467	70	204.3x	Full	4	320	1 of 320	146 of 320	218 of 320	61 of 320	93 of 320	1 3 3 (5S 16S 23S)	1 (5S)	3 3 (16S 23S)	Illumina MiSeq	59	None
