id	SRA_id	SRABioProjectAccession	SRABioSampleAccession	SRAExperimentAccession	SRARunAccession	SRASampleAccession	SRAExperimentName	SRAExperimentStatus	SRAExperimentVersion	SRAIsPublic	SRASampleName	SRAStaticDataAvailable	SRAStudyAcc	SRAStudName	SRATitle	SRAOrganismName	SRAOrganismTaxID	SRAClusterName	SRAInstrumentModel	SRALibraryName	SRALibraryLayout	SRALibrarySelection	SRALibrarySource	SRALibraryStrategy	SRAPlatform	SRATotalBases	SRATotalSize	SRATotalSpots	SRATotalRuns	SRACreateDate	SRAUpdateDate	SRACenterName	SRAContactName	SRALabName	SRASubmitterAccession	SRAComment
11	7967503	PRJEB29991	SAMEA5661389	ERX3365923	ERR3341233	ERS3465408	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	UNT003.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	2940331548	991987286	38688573	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
12	7967502	PRJEB29991	SAMEA5661388	ERX3365922	ERR3341232	ERS3465407	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	UNT002.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	7080424784	2351167601	93163484	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
13	7967501	PRJEB29991	SAMEA5661387	ERX3365921	ERR3341231	ERS3465406	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	PET006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	3920878076	1309014525	51590501	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
14	7967500	PRJEB29991	SAMEA5661386	ERX3365920	ERR3341230	ERS3465405	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	PET005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	7164299068	2391037997	94267093	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
15	7967499	PRJEB29991	SAMEA5661385	ERX3365919	ERR3341229	ERS3465404	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	PET004.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	4252970260	1440915021	55960135	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
16	7967498	PRJEB29991	SAMEA5661383	ERX3365918	ERR3341228	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	28378476	12248782	373401	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
17	7967497	PRJEB29991	SAMEA5661383	ERX3365917	ERR3341227	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	29615148	12492056	389673	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
18	7967496	PRJEB29991	SAMEA5661383	ERX3365916	ERR3341226	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	30667748	12924731	403523	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
19	7967495	PRJEB29991	SAMEA5661383	ERX3365915	ERR3341225	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	27733996	11940501	364921	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
20	7967494	PRJEB29991	SAMEA5661383	ERX3365914	ERR3341224	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	27905100	12169783	372068	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
21	7967493	PRJEB29991	SAMEA5661383	ERX3365913	ERR3341223	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	28903200	12444835	385376	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
22	7967492	PRJEB29991	SAMEA5661383	ERX3365912	ERR3341222	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	26127675	11424206	348369	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
23	7967491	PRJEB29991	SAMEA5661383	ERX3365911	ERR3341221	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	26636400	11657589	355152	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
24	7967490	PRJEB29991	SAMEA5661383	ERX3365910	ERR3341220	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	31190025	13072484	415867	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
25	7967489	PRJEB29991	SAMEA5661383	ERX3365909	ERR3341219	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	31462800	13207779	419504	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
26	7967488	PRJEB29991	SAMEA5661383	ERX3365908	ERR3341218	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	30682650	12427278	409102	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
27	7967487	PRJEB29991	SAMEA5661383	ERX3365907	ERR3341217	ERS3465402	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC006.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	31070625	12596237	414275	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
28	7967486	PRJEB29991	SAMEA5661381	ERX3365906	ERR3341216	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	23247944	10086826	305894	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
29	7967485	PRJEB29991	SAMEA5661381	ERX3365905	ERR3341215	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	24331628	10332006	320153	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
30	7967484	PRJEB29991	SAMEA5661381	ERX3365904	ERR3341214	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	25307164	10724812	332989	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
31	7967483	PRJEB29991	SAMEA5661381	ERX3365903	ERR3341213	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	22689572	9842895	298547	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
32	7967482	PRJEB29991	SAMEA5661381	ERX3365902	ERR3341212	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	22727925	9976576	303039	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
33	7967481	PRJEB29991	SAMEA5661381	ERX3365901	ERR3341211	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	23765925	10293912	316879	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
34	7967480	PRJEB29991	SAMEA5661381	ERX3365900	ERR3341210	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	21304350	9377038	284058	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
35	7967479	PRJEB29991	SAMEA5661381	ERX3365899	ERR3341209	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	21749400	9566645	289992	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
36	7967478	PRJEB29991	SAMEA5661381	ERX3365898	ERR3341208	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	25681425	10825496	342419	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
37	7967477	PRJEB29991	SAMEA5661381	ERX3365897	ERR3341207	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	25788825	10888959	343851	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
38	7967476	PRJEB29991	SAMEA5661381	ERX3365896	ERR3341206	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	25298400	10299608	337312	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
39	7967475	PRJEB29991	SAMEA5661381	ERX3365895	ERR3341205	ERS3465400	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.B0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	25685850	10480552	342478	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
40	7967474	PRJEB29991	SAMEA5661380	ERX3365894	ERR3341204	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	21016736	9286335	276536	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
41	7967473	PRJEB29991	SAMEA5661380	ERX3365893	ERR3341203	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	21903352	9488002	288202	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
42	7967472	PRJEB29991	SAMEA5661380	ERX3365892	ERR3341202	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	23093284	9956931	303859	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
43	7967471	PRJEB29991	SAMEA5661380	ERX3365891	ERR3341201	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	20415576	9020201	268626	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
44	7967470	PRJEB29991	SAMEA5661380	ERX3365890	ERR3341200	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	20180475	9064843	269073	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
45	7967469	PRJEB29991	SAMEA5661380	ERX3365889	ERR3341199	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	21399000	9476313	285320	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
46	7967468	PRJEB29991	SAMEA5661380	ERX3365888	ERR3341198	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	19039575	8561099	253861	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
47	7967467	PRJEB29991	SAMEA5661380	ERX3365887	ERR3341197	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	19536375	8774205	260485	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
48	7967466	PRJEB29991	SAMEA5661380	ERX3365886	ERR3341196	ERS3465399	NextSeq 500 sequencing	public	1	true		true	ERP112352	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	NextSeq 500 sequencing	None	632	public	Illumina NextSeq 500	LVC005.A0101.YP1	SINGLE	RANDOM	METAGENOMIC	WGS	ILLUMINA	22906800	9802344	305424	1	2019/05/31	2019/05/31	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1945745	None
