id	Assembly_id	AssemblyAccession	AssemblyBioSampleAccession	AssemblyBioSampleID	AssemblyGenbankBioprojectAccession	AssemblyGenbankID	AssemblyRefseqBioprojectAccession	AssemblyRefSeqCategory	AssemblyRefSeqID	AssemblyWGSAccession	AssemblyInfraspecies	AssemblyIsolate	AssemblyOrganism	AssemblySpeciesTaxonomicID	AssemblySpeciesName	AssemblyTaxonomicID	AssemblyName	AssemblyStatus	AssemblyType	AssemblyCoverage	AssemblyChromosomes	AssemblyContigCount	AssemblyContigN50	AssemblyContigL50	AssemblyNonChromosomalReplicons	AssemblyReplicons	AssemblyScaffolds	AssemblyScaffoldN50	AssemblyScaffoldL50	AssemblyTotalLength	AssemblyUngappedLength	AssemblySubmitterOrganization	AssemblySubmissionDate	AssemblyReleaseDate	AssemblyFTPAssemblyReport	AssemblyFTPGenbank	AssemblyFTPRefSeq	AssemblyFTPStatsReport	AssemblyComment
11	3518041	GCF_006376475.1	SAMN12011899	12011899	PRJNA224116	11360438	PRJNA224116	na	11518498	VEZV01	C-224	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637647v1	Contig	haploid	80	0	243	32682	44	0	0	243	32682	44	4285693	4285693	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/475/GCF_006376475.1_ASM637647v1/GCF_006376475.1_ASM637647v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/475/GCA_006376475.1_ASM637647v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/475/GCF_006376475.1_ASM637647v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/475/GCF_006376475.1_ASM637647v1/GCF_006376475.1_ASM637647v1_assembly_stats.txt	None
12	3518031	GCF_006376445.1	SAMN12011895	12011895	PRJNA224116	11360418	PRJNA224116	na	11518378	VEZU01	C-144	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637644v1	Contig	haploid	80	0	252	30980	50	0	0	252	30980	50	4417196	4417196	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/445/GCF_006376445.1_ASM637644v1/GCF_006376445.1_ASM637644v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/445/GCA_006376445.1_ASM637644v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/445/GCF_006376445.1_ASM637644v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/445/GCF_006376445.1_ASM637644v1/GCF_006376445.1_ASM637644v1_assembly_stats.txt	None
13	3518021	GCF_006376435.1	SAMN12011893	12011893	PRJNA224116	11360408	PRJNA224116	na	11518458	VEZT01	C-62	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637643v1	Contig	haploid	80	0	268	36322	43	0	0	268	36322	43	4580853	4580853	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/435/GCF_006376435.1_ASM637643v1/GCF_006376435.1_ASM637643v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/435/GCA_006376435.1_ASM637643v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/435/GCF_006376435.1_ASM637643v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/435/GCF_006376435.1_ASM637643v1/GCF_006376435.1_ASM637643v1_assembly_stats.txt	None
14	3518011	GCF_006376415.1	SAMN12011892	12011892	PRJNA224116	11360378	PRJNA224116	na	11518258	VEZS01	C-11	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM637641v1	Contig	haploid	80	0	217	36029	41	0	0	217	36029	41	4377414	4377414	Stavropol Plague Control Reseach Institute	2019/06/16 00:00	2019/06/16 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/415/GCF_006376415.1_ASM637641v1/GCF_006376415.1_ASM637641v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/415/GCA_006376415.1_ASM637641v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/415/GCF_006376415.1_ASM637641v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/376/415/GCF_006376415.1_ASM637641v1/GCF_006376415.1_ASM637641v1_assembly_stats.txt	None
15	2641451	GCF_004923355.1	SAMN11267087	11267087	PRJNA224116	9503158	PRJNA224116	na	9732218	SPOT01	16763	None	Vibrio parahaemolyticus (g-proteobacteria)	670	Vibrio parahaemolyticus	670	ASM492335v1	Contig	haploid	3	0	73	241423	9	0	0	73	241423	9	5317524	5317524	Research Institute for Plague Control	2019/04/19 00:00	2019/04/19 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/923/355/GCF_004923355.1_ASM492335v1/GCF_004923355.1_ASM492335v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/923/355/GCA_004923355.1_ASM492335v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/923/355/GCF_004923355.1_ASM492335v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/923/355/GCF_004923355.1_ASM492335v1/GCF_004923355.1_ASM492335v1_assembly_stats.txt	None
16	2350071	GCF_004358285.1	SAMN11125784	11125784	PRJNA224116	8762398	PRJNA224116	na	8766158	SMZD01	286	None	Vibrio cholerae (g-proteobacteria)	666	Vibrio cholerae	666	ASM435828v1	Contig	haploid	100	0	169	59274	23	0	0	169	59274	23	4068702	4068702	Stavropol Plague Control Reseach Institute	2019/03/19 00:00	2019/03/19 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/285/GCF_004358285.1_ASM435828v1/GCF_004358285.1_ASM435828v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/285/GCA_004358285.1_ASM435828v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/285/GCF_004358285.1_ASM435828v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/285/GCF_004358285.1_ASM435828v1/GCF_004358285.1_ASM435828v1_assembly_stats.txt	None
17	2350061	GCF_004358245.1	SAMN11125768	11125768	PRJNA224116	8762358	PRJNA224116	na	8766518	SMZC01	157D	None	Vibrio cholerae (g-proteobacteria)	666	Vibrio cholerae	666	ASM435824v1	Contig	haploid	100	0	138	81168	16	0	0	138	81168	16	4078639	4078639	Stavropol Plague Control Reseach Institute	2019/03/19 00:00	2019/03/19 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/245/GCF_004358245.1_ASM435824v1/GCF_004358245.1_ASM435824v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/245/GCA_004358245.1_ASM435824v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/245/GCF_004358245.1_ASM435824v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/245/GCF_004358245.1_ASM435824v1/GCF_004358245.1_ASM435824v1_assembly_stats.txt	None
18	2350051	GCF_004358225.1	SAMN11125682	11125682	PRJNA224116	8762338	PRJNA224116	na	8766338	SMZB01	123AZ	None	Vibrio cholerae (g-proteobacteria)	666	Vibrio cholerae	666	ASM435822v1	Contig	haploid	100	0	120	164839	9	0	0	120	164839	9	3919566	3919566	Stavropol Plague Control Reseach Institute	2019/03/19 00:00	2019/03/19 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/225/GCF_004358225.1_ASM435822v1/GCF_004358225.1_ASM435822v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/225/GCA_004358225.1_ASM435822v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/225/GCF_004358225.1_ASM435822v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/225/GCF_004358225.1_ASM435822v1/GCF_004358225.1_ASM435822v1_assembly_stats.txt	None
19	2350041	GCF_004358215.1	SAMN11125653	11125653	PRJNA224116	8762318	PRJNA224116	na	8766298	SMZA01	180D	None	Vibrio cholerae (g-proteobacteria)	666	Vibrio cholerae	666	ASM435821v1	Contig	haploid	100	0	130	175865	7	0	0	130	175865	7	3906916	3906916	Stavropol Plague Control Reseach Institute	2019/03/19 00:00	2019/03/19 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/215/GCF_004358215.1_ASM435821v1/GCF_004358215.1_ASM435821v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/215/GCA_004358215.1_ASM435821v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/215/GCF_004358215.1_ASM435821v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/215/GCF_004358215.1_ASM435821v1/GCF_004358215.1_ASM435821v1_assembly_stats.txt	None
20	2350031	GCF_004358295.1	SAMN11125798	11125798	PRJNA224116	8762388	PRJNA224116	na	8766378	SMZE01	1	None	Vibrio cholerae (g-proteobacteria)	666	Vibrio cholerae	666	ASM435829v1	Contig	haploid	100	0	55	215765	8	0	0	55	215765	8	3939335	3939335	Stavropol Plague Control Reseach Institute	2019/03/19 00:00	2019/03/19 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/295/GCF_004358295.1_ASM435829v1/GCF_004358295.1_ASM435829v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/295/GCA_004358295.1_ASM435829v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/295/GCF_004358295.1_ASM435829v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/295/GCF_004358295.1_ASM435829v1/GCF_004358295.1_ASM435829v1_assembly_stats.txt	None
21	2336121	GCF_004328575.1	SAMN11029208	11029208	PRJNA224116	8710648	PRJNA224116	na	8733748	None	20000	None	Vibrio cholerae (g-proteobacteria)	666	Vibrio cholerae	666	ASM432857v1	Complete Genome	haploid	34	2	2	2942340	1	0	2	0	2942340	1	4052696	4052696	Research Institute for Plague Control	2019/03/06 00:00	2019/03/06 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/575/GCF_004328575.1_ASM432857v1/GCF_004328575.1_ASM432857v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/328/575/GCA_004328575.1_ASM432857v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/575/GCF_004328575.1_ASM432857v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/575/GCF_004328575.1_ASM432857v1/GCF_004328575.1_ASM432857v1_assembly_stats.txt	None
22	2210001	GCF_004023595.1	SAMN06209181	6209181	PRJNA224116	8246238	PRJNA224116	na	8253428	MUZN01	2514	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM402359v1	Scaffold	haploid	93.5	0	440	24467	59	0	0	212	47180	34	4629574	4561552	Xinjiang Center for Disease Control and Prevention	2019/01/14 00:00	2019/01/14 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/595/GCF_004023595.1_ASM402359v1/GCF_004023595.1_ASM402359v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/595/GCA_004023595.1_ASM402359v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/595/GCF_004023595.1_ASM402359v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/595/GCF_004023595.1_ASM402359v1/GCF_004023595.1_ASM402359v1_assembly_stats.txt	None
23	2209991	GCF_004023585.1	SAMN06209180	6209180	PRJNA224116	8246228	PRJNA224116	na	8253668	MUZM01	2513	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM402358v1	Scaffold	haploid	94.7	0	393	26966	53	0	0	227	46548	33	4537723	4482585	Xinjiang Center for Disease Control and Prevention	2019/01/14 00:00	2019/01/14 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/585/GCF_004023585.1_ASM402358v1/GCF_004023585.1_ASM402358v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/585/GCA_004023585.1_ASM402358v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/585/GCF_004023585.1_ASM402358v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/585/GCF_004023585.1_ASM402358v1/GCF_004023585.1_ASM402358v1_assembly_stats.txt	None
24	2190231	GCF_003984755.1	SAMN10584386	10584386	PRJNA224116	8167558	PRJNA224116	na	8181928	RXOG01	N1	None	Brucella abortus (a-proteobacteria)	235	Brucella abortus	235	ASM398475v1	Contig	haploid	80	0	58	135139	8	0	0	58	135139	8	3251534	3251534	Stavropol Plague Control Reseach Institute	2018/12/23 00:00	2018/12/23 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/755/GCF_003984755.1_ASM398475v1/GCF_003984755.1_ASM398475v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/984/755/GCA_003984755.1_ASM398475v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/755/GCF_003984755.1_ASM398475v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/755/GCF_003984755.1_ASM398475v1/GCF_003984755.1_ASM398475v1_assembly_stats.txt	None
25	2190221	GCF_003984745.1	SAMN10584523	10584523	PRJNA224116	8167538	PRJNA224116	na	8180248	RXOK01	C-615	None	Brucella abortus (a-proteobacteria)	235	Brucella abortus	235	ASM398474v1	Contig	haploid	50	0	45	146533	7	0	0	45	146533	7	3252363	3252363	Stavropol Plague Control Reseach Institute	2018/12/23 00:00	2018/12/23 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/745/GCF_003984745.1_ASM398474v1/GCF_003984745.1_ASM398474v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/984/745/GCA_003984745.1_ASM398474v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/745/GCF_003984745.1_ASM398474v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/745/GCF_003984745.1_ASM398474v1/GCF_003984745.1_ASM398474v1_assembly_stats.txt	None
26	2178051	GCF_003965945.1	SAMN10584495	10584495	PRJNA224116	8118268	PRJNA224116	na	8153018	RXOI01	C-613	None	Brucella abortus (a-proteobacteria)	235	Brucella abortus	235	ASM396594v1	Contig	haploid	50	0	38	181610	7	0	0	38	181610	7	3252236	3252236	Stavropol Plague Control Reseach Institute	2018/12/23 00:00	2018/12/23 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/965/945/GCF_003965945.1_ASM396594v1/GCF_003965945.1_ASM396594v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/965/945/GCA_003965945.1_ASM396594v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/965/945/GCF_003965945.1_ASM396594v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/965/945/GCF_003965945.1_ASM396594v1/GCF_003965945.1_ASM396594v1_assembly_stats.txt	None
27	2178031	GCF_003965935.1	SAMN10584522	10584522	PRJNA224116	8118308	PRJNA224116	na	8152118	RXOJ01	C-614	None	Brucella abortus (a-proteobacteria)	235	Brucella abortus	235	ASM396593v1	Contig	haploid	50	0	50	142253	8	0	0	50	142253	8	3253206	3253206	Stavropol Plague Control Reseach Institute	2018/12/23 00:00	2018/12/23 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/965/935/GCF_003965935.1_ASM396593v1/GCF_003965935.1_ASM396593v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/965/935/GCA_003965935.1_ASM396593v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/965/935/GCF_003965935.1_ASM396593v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/965/935/GCF_003965935.1_ASM396593v1/GCF_003965935.1_ASM396593v1_assembly_stats.txt	None
