Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad
NODE25	100.0	99.9	7.3191e-06	red	8.627099999999999e-05	30.109375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0376417093708673e-08	1.1004356156840225	6.668954559619155e-06	1816-05-21	1816.3839081195147	690.6455142086929	5906.2341581754645	24.5	1816.3839081195147	7.702201087460114e-05	False
NODE26	100.0	99.9	7.038e-07	red	8.697479999999999e-05	25.96875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.342206279592266e-09	0.7786527097740674	6.447054835395809e-07	1919-01-23	1919.0621080035085	102.67819988399378	6008.912358059459	21.125	1919.0621080035085	7.766671635814072e-05	False
GCA_001295055.1_ASM129505v1_genomic	NA	NA	2.346e-07	grey	8.720939999999999e-05	25.0	C-666	1989	-32	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861513	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	4.1534084176172864e-09	0.44047560038802375	2.1489137866571076e-07	1989-01-01	1989.0	69.93789199649154	6078.85025005595	20.0	1989.0	7.788160773680643e-05	False
NODE27	100.0	99.4	4.692e-07	red	8.744399999999998e-05	26.9375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1448166692144996e-08	1.214096373396765	4.2979409128473987e-07	1956-11-18	1956.8821054103876	37.81999740687911	6046.732355466338	22.25	1956.8821054103876	7.809651044942546e-05	False
GCA_003074435.1_ASM307443v1_genomic	NA	NA	2.346e-07	grey	8.767859999999998e-05	26.0	KM874	1984	-37	Armenia	Syunik Province	40.7696272	44.6736646	39.3281408	46.1530296	Caucasica	0.PE	0.PE2	SAMN05240958	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	9.191754477145491e-09	0.9748002519488886	2.1489557627197155e-07	1984-01-01	1984.0	27.117894589612433	6073.850250055951	21.0	1984.0	7.831140602569744e-05	False
GCA_001294985.1_ASM129498v1_genomic	NA	NA	2.35e-08	grey	8.749099999999999e-05	27.0	C-359	1978	-43	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861500	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	4.194866845173607e-09	0.44487233288645933	3.1604063828292136e-20	1978-01-01	1978.0	21.117894589612433	6067.850250055951	22.0	1978.0	7.809651044942549e-05	False
NODE30	100.0	100.0	4.692e-07	red	8.796019999999999e-05	29.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3607276248799228e-08	1.4430733924245203	4.297897741912673e-07	1979-01-01	1979.000106051598	22.11800064121053	6068.850356107549	23.5	1979.000106051598	7.852630022361673e-05	False
GCA_003074395.1_ASM307439v1_genomic	NA	NA	2.35e-08	grey	8.79837e-05	29.0	3544	1979	-42	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN05225434	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	9.42937228254769e-09	0.9999999999566855	3.166313288852132e-20	1979-01-01	1979.0	-0.00010605159809529141	6068.850250055951	23.0	1979.0	7.852630022361676e-05	False
GCA_003074415.1_ASM307441v1_genomic	NA	NA	2.35e-08	grey	8.79837e-05	30.0	3551	1979	-42	Armenia	Gegharkunik Province	40.7696272	44.6736646	40.3030726	45.375739	Caucasica	0.PE	0.PE2	SAMN05225437	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	9.42937228254769e-09	0.9999999999566855	3.161823404843364e-20	1979-01-01	1979.0	-0.00010605159809529141	6068.850250055951	24.0	1979.0	7.852630022361676e-05	False
NODE31	100.0	99.4	7.038e-07	red	8.697479999999999e-05	34.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1773175079566515e-08	1.2485640322894975	6.447046886280374e-07	1869-01-30	1869.080345948961	52.69643782944627	5958.9305960049105	27.875	1869.080345948961	7.766671556322918e-05	False
GCA_001295065.1_ASM129506v1_genomic	NA	NA	4.692e-07	grey	8.746749999999999e-05	31.0	C-267	1969	-52	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861484	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	5.617136094835097e-09	0.5957062597887077	4.298085484228504e-07	1969-01-01	1969.0	99.91965405103906	6058.85025005595	25.0	1969.0	7.809652411165203e-05	False
NODE33	100.0	100.0	4.692e-07	red	8.746749999999999e-05	32.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1740656095161108e-08	1.2451153420236367	4.298778773766209e-07	1906-04-27	1906.3196933301108	37.239347381149855	5996.16994338606	26.75	1906.3196933301108	7.80965934406058e-05	False
GCA_003085875.1_ASM308587v1_genomic	NA	NA	2.35e-08	grey	8.749099999999999e-05	32.0	M-986	1975	-46	Armenia	Syunik Province	40.7696272	44.6736646	39.3281408	46.1530296	Caucasica	0.PE	0.PE2	SAMN05149970	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	9.429372282956118e-10	0.1	3.149859111072842e-20	1975-01-01	1975.0	68.6803066698892	6064.85025005595	26.0	1975.0	7.809659344060583e-05	False
NODE34	100.0	100.0	1.4076e-06	red	8.887509999999999e-05	33.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.797689118253232e-08	1.9064780393734275	1.2900052238177279e-06	1974-05-25	1974.396374255095	68.0766809249842	6064.246624311045	27.5	1974.396374255095	7.938659866442352e-05	False
GCA_001188325.1_YPY_1_genomic	NA	NA	2.35e-08	grey	8.889859999999999e-05	33.0	14735	[1961:1976]	[-60:-45]	Georgia	Samtskhe-Javakheti	41.6809707	44.02873820000001	41.52653525	43.2469570403887	Caucasica	0.PE	0.PE2	SAMN03943539	KEEP: Assembly Modern Zhgenti 2015 Keller 2019	0	9.429372282956118e-09	1.0	3.1427556632737754e-20	1974-05-25	1974.396374255095	0.0	6064.246624311045	27.0	1968.5	7.938659866442355e-05	False
GCA_001188715.1_ASM118871v1_genomic	NA	NA	2.35e-08	grey	8.889859999999999e-05	34.0	1522	[1961:1976]	[-60:-45]	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN03783057	KEEP: Assembly Modern Zhgenti 2015 Keller 2019	0	9.429372282956118e-09	1.0	3.1396299080692036e-20	1974-05-25	1974.396374255095	0.0	6064.246624311045	28.0	1968.5	7.938659866442355e-05	False
NODE35	100.0	98.5	4.692e-07	red	8.744399999999998e-05	36.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1619815825088633e-08	1.2323000382636085	4.2979603728519797e-07	1902-02-11	1902.1136511955979	33.03330524663693	5991.963901251547	30.75	1902.1136511955979	7.809651160051437e-05	False
GCA_000834315.1_ASM83431v1_genomic	NA	NA	2.35e-08	grey	8.749099999999999e-05	35.0	Pestoides F	[1950:1984]	[-71:-37]	NA	NA	NA	NA	NA	NA	Caucasica	0.PE	0.PE2	SAMN03121016	KEEP: Assembly Modern No Location Morelli 2010 Cui 2013 Keller 2019	0	1.9438037173536113e-09	0.20614349068252366	3.154161361673819e-20	1950-01-01	1950.000106051598	47.88645485600023	6039.850356107548	29.0	1967.0	7.80965116005144e-05	False
GCA_001294905.1_ASM129490v1_genomic	NA	NA	2.35e-08	grey	8.749099999999999e-05	36.0	C-291	1971	-50	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861503	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	9.429372282956118e-10	0.1	3.1532623460421114e-20	1971-01-01	1971.0	68.88634880440213	6060.85025005595	30.0	1971.0	7.80965116005144e-05	False
GCA_001295105.1_ASM129510v1_genomic	NA	NA	2.268e-07	grey	8.769429999999998e-05	37.0	C-235	1968	-53	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861483	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	5.237082120388067e-09	0.5554009284217418	2.1488919670022698e-07	1968-01-01	1968.0	65.88634880440213	6057.85025005595	31.0	1968.0	7.831140079721459e-05	False
NODE38	78.0	47.0	4.454e-07	black	8.791289999999999e-05	38.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3495571854140169e-08	1.43122696285243	2.1498319738721925e-07	1912-09-15	1912.7063117561652	10.59266056056731	6002.5565618121145	32.5	1912.7063117561652	7.831149479790159e-05	False
GCA_001295185.1_ASM129518v1_genomic	NA	NA	5.13e-08	grey	8.796419999999999e-05	38.0	C-197	1967	-54	Azerbaijan	Goranboy District	40.3936294	47.787250799999995	40.6065534	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861482	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	1.5123526749173405e-09	0.1603874181159402	3.1512366786450786e-20	1967-01-01	1967.0	54.29368824383482	6056.85025005595	32.0	1967.0	7.831149479790162e-05	False
GCA_006376505.1_ASM637650v1_genomic	NA	NA	1.8768e-06	grey	8.978969999999998e-05	39.0	C-232	1968	-53	Azerbaijan	Shahbuz Rayon	40.3936294	47.787250799999995	39.43858165	45.60713327015354	Caucasica	0.PE	0.PE2	SAMN12011946	KEEP: Assembly Modern	0	2.3115852220627806e-08	2.451473070207486	1.7206807935319072e-06	1968-01-01	1968.0	55.29368824383482	6057.85025005595	33.0	1968.0	8.003217559143349e-05	False
NODE39	100.0	100.0	9.2394e-06	red	8.819129999999999e-05	41.779296875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1582220917642039e-08	1.228313038247229	8.400918810033588e-06	1881-02-18	1881.1318724005912	755.3934784897694	5970.982122456541	35.3671875	1881.1318724005912	7.875397512501557e-05	False
GCA_000834985.1_ASM83498v1_genomic	NA	NA	2.35e-08	grey	8.82148e-05	40.0	Pestoides G	[1950:1984]	[-71:-37]	NA	NA	NA	NA	NA	NA	Caucasica	0.PE	0.PE2	SAMN03202985	KEEP: Assembly Modern No Location	0	1.7601734385373722e-09	0.1866692061484241	3.159187340047838e-20	1950-01-01	1950.000106051598	68.8682336510069	6039.850356107549	34.0	1967.0	7.87539751250156e-05	False
NODE40	100.0	97.3	2.346e-07	red	8.842589999999999e-05	43.55859375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1372495741107632e-08	1.2060713481069965	2.1489877778589936e-07	1898-03-17	1898.2066818265619	17.07480942597067	5988.056931882512	36.734375	1898.2066818265619	7.896887390280148e-05	False
GCA_003085935.1_ASM308593v1_genomic	NA	NA	2.35e-08	grey	8.84494e-05	41.0	835	1958	-63	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN05162581	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	1.967944080123282e-09	0.20870361473376142	3.15648836175331e-20	1958-01-01	1958.0	59.79331817343814	6047.85025005595	35.0	1958.0	7.89688739028015e-05	False
NODE41	100.0	99.1	2.346e-07	red	8.866049999999999e-05	46.1171875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.125620169583863e-08	1.193738178752849	2.1489705876470592e-07	1913-05-06	1913.3446028263306	15.137920999768767	6003.19485288228	38.46875	1913.3446028263306	7.918377096156618e-05	False
GCA_001295045.1_ASM129504v1_genomic	NA	NA	2.35e-08	grey	8.87075e-05	42.0	C-290	1971	-50	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN03839880	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	1.4820646303815618e-09	0.1571753225885926	3.15458765927939e-20	1971-01-01	1971.0	57.65539717366937	6060.85025005595	36.0	1971.0	7.918377096156621e-05	False
GCA_001294915.1_ASM129491v1_genomic	NA	NA	2.35e-08	grey	8.8731e-05	43.0	C-346	1976	-45	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN03861512	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	1.1967297643475087e-09	0.12691510404257075	3.1528215925926636e-20	1976-01-01	1976.0	62.65539717366937	6065.85025005595	37.0	1976.0	7.918377096156621e-05	False
