Sample	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number
GCA_009669955.1_ASM966995v1_genomic	42084	2000	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722906	KEEP: Assembly Modern	0
GCA_009669925.1_ASM966992v1_genomic	42083	1999	-22	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722905	KEEP: Assembly Modern	0
GCA_009669935.1_ASM966993v1_genomic	42081	1995	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722904	KEEP: Assembly Modern	0
GCA_009669975.1_ASM966997v1_genomic	42080	1995	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722903	KEEP: Assembly Modern	0
GCA_009670005.1_ASM967000v1_genomic	42079	1995	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722902	KEEP: Assembly Modern	0
GCA_009670045.1_ASM967004v1_genomic	42078	1995	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722901	KEEP: Assembly Modern	0
GCA_009670015.1_ASM967001v1_genomic	42077	1994	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722900	KEEP: Assembly Modern	0
GCA_009670055.1_ASM967005v1_genomic	42075	1993	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722899	KEEP: Assembly Modern	0
GCA_009670075.1_ASM967007v1_genomic	42074	1993	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722898	KEEP: Assembly Modern	0
GCA_009670115.1_ASM967011v1_genomic	42072	1992	-29	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722897	KEEP: Assembly Modern	0
GCA_009667895.1_ASM966789v1_genomic	42071	1991	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722896	KEEP: Assembly Modern	0
GCA_009670135.1_ASM967013v1_genomic	42070	1991	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722895	KEEP: Assembly Modern	0
GCA_009670155.1_ASM967015v1_genomic	42069	1991	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722894	KEEP: Assembly Modern	0
GCA_009670105.1_ASM967010v1_genomic	42068	1989	-32	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722893	KEEP: Assembly Modern	0
GCA_009670185.1_ASM967018v1_genomic	42065	1988	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722892	KEEP: Assembly Modern	0
GCA_009670205.1_ASM967020v1_genomic	42064	1988	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722891	KEEP: Assembly Modern	0
GCA_009670225.1_ASM967022v1_genomic	42063	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722890	KEEP: Assembly Modern	0
GCA_009670235.1_ASM967023v1_genomic	42062	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722889	KEEP: Assembly Modern	0
GCA_009670245.1_ASM967024v1_genomic	42061	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722888	KEEP: Assembly Modern	0
GCA_009667925.1_ASM966792v1_genomic	42060	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722887	KEEP: Assembly Modern	0
GCA_009670285.1_ASM967028v1_genomic	42059	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722886	KEEP: Assembly Modern	0
GCA_009670305.1_ASM967030v1_genomic	42058	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722885	KEEP: Assembly Modern	0
GCA_009670345.1_ASM967034v1_genomic	42057	1987	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722884	KEEP: Assembly Modern	0
GCA_009667935.1_ASM966793v1_genomic	42056	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722883	KEEP: Assembly Modern	0
GCA_009670355.1_ASM967035v1_genomic	42055	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722882	KEEP: Assembly Modern	0
GCA_009670325.1_ASM967032v1_genomic	42054	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722881	KEEP: Assembly Modern	0
GCA_009667885.1_ASM966788v1_genomic	42053	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722880	KEEP: Assembly Modern	0
GCA_009670385.1_ASM967038v1_genomic	42052	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722879	KEEP: Assembly Modern	0
GCA_009667945.1_ASM966794v1_genomic	42051	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722878	KEEP: Assembly Modern	0
GCA_009670415.1_ASM967041v1_genomic	42050	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722877	KEEP: Assembly Modern	0
GCA_009667985.1_ASM966798v1_genomic	42049	1986	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722876	KEEP: Assembly Modern	0
GCA_009670395.1_ASM967039v1_genomic	42047	1984	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722875	KEEP: Assembly Modern	0
GCA_009670445.1_ASM967044v1_genomic	42046	1984	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722874	KEEP: Assembly Modern	0
GCA_009670465.1_ASM967046v1_genomic	42045	1984	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722873	KEEP: Assembly Modern	0
GCA_009670485.1_ASM967048v1_genomic	42044	1984	-37	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722872	KEEP: Assembly Modern	0
GCA_009670475.1_ASM967047v1_genomic	42043	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722871	KEEP: Assembly Modern	0
GCA_009670515.1_ASM967051v1_genomic	42042	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722870	KEEP: Assembly Modern	0
GCA_009670545.1_ASM967054v1_genomic	42040	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722869	KEEP: Assembly Modern	0
GCA_009670565.1_ASM967056v1_genomic	42039	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722868	KEEP: Assembly Modern	0
GCA_009670575.1_ASM967057v1_genomic	42038	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722867	KEEP: Assembly Modern	0
GCA_009670625.1_ASM967062v1_genomic	42037	1983	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722866	KEEP: Assembly Modern	0
GCA_009670585.1_ASM967058v1_genomic	42034	1982	-39	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722865	KEEP: Assembly Modern	0
GCA_009670605.1_ASM967060v1_genomic	42033	1982	-39	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722864	KEEP: Assembly Modern	0
GCA_009670665.1_ASM967066v1_genomic	42032	1981	-40	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722863	KEEP: Assembly Modern	0
GCA_009670675.1_ASM967067v1_genomic	42029	1980	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722862	KEEP: Assembly Modern	0
GCA_009670725.1_ASM967072v1_genomic	42028	1974	-47	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722861	KEEP: Assembly Modern	0
GCA_009670705.1_ASM967070v1_genomic	42027	1972	-49	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722860	KEEP: Assembly Modern	0
GCA_009670715.1_ASM967071v1_genomic	42022	1977	-44	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722859	KEEP: Assembly Modern	0
GCA_009670775.1_ASM967077v1_genomic	42021	1977	-44	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722858	KEEP: Assembly Modern	0
GCA_009670765.1_ASM967076v1_genomic	42020	1977	-44	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722857	KEEP: Assembly Modern	0
GCA_009670785.1_ASM967078v1_genomic	42016	1976	-45	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722856	KEEP: Assembly Modern	0
GCA_009670835.1_ASM967083v1_genomic	42015	1976	-45	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722855	KEEP: Assembly Modern	0
GCA_009670815.1_ASM967081v1_genomic	42014	1972	-49	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722854	KEEP: Assembly Modern	0
GCA_009670865.1_ASM967086v1_genomic	42012	1971	-50	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722853	KEEP: Assembly Modern	0
GCA_009670875.1_ASM967087v1_genomic	42010	1969	-52	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722852	KEEP: Assembly Modern	0
GCA_009670895.1_ASM967089v1_genomic	42009	1969	-52	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722851	KEEP: Assembly Modern	0
GCA_009670905.1_ASM967090v1_genomic	42008	1968	-53	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722850	KEEP: Assembly Modern	0
GCA_009670935.1_ASM967093v1_genomic	42005	1967	-54	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722849	KEEP: Assembly Modern	0
GCA_009670995.1_ASM967099v1_genomic	42003	1967	-54	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722848	KEEP: Assembly Modern	0
GCA_009296005.1_ASM929600v1_genomic	C-25	1953	-68	Russia	Chechnya	64.6863136	97.7453061	43.3976147	45.6985005	Medievalis	2.MED	2.MED1	SAMN12991209	KEEP: Assembly Modern	2
GCA_009363195.1_ASM936319v1_genomic	I-2638	1977	-44	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN12991207	KEEP: Assembly Modern	4
GCA_009295945.1_ASM929594v1_genomic	I-3113	1984	-37	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN12991206	KEEP: Assembly Modern	4
GCA_008630485.1_ASM863048v1_genomic	C-742	1997	-24	Russia	Kabardino-Balkaria	64.6863136	97.7453061	43.4428286	43.4204809	Medievalis	2.MED	2.MED1	SAMN12721152	KEEP: Assembly Modern	2
GCA_008630455.1_ASM863045v1_genomic	C-826	2011	-10	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944228	Caucasica	0.PE	0.PE2	SAMN12721149	KEEP: Assembly Modern	0
GCA_008630435.1_ASM863043v1_genomic	C-719	1996	-25	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12721146	KEEP: Assembly Modern	2
GCA_008630415.1_ASM863041v1_genomic	C-672	1988	-33	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944228	Caucasica	0.PE	0.PE2	SAMN12720423	KEEP: Assembly Modern	0
GCA_008630395.1_ASM863039v1_genomic	C-528	1984	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944228	Medievalis	2.MED	2.MED1	SAMN12715009	KEEP: Assembly Modern	2
GCA_008630575.1_ASM863057v1_genomic	C-527	1984	-37	Azerbaijan	Qazakh District	40.3936294	47.7872508	41.173906349999996	45.254411087310864	Medievalis	2.MED	2.MED1	SAMN12714845	KEEP: Assembly Modern	2
GCA_008630375.1_ASM863037v1_genomic	C-506	1982	-39	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12714485	KEEP: Assembly Modern	2
GCA_008630375.2_ASM863037v2_genomic	C-506	1982	-39	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12714485	KEEP: Assembly Modern	2
GCA_006546745.1_ASM654674v1_genomic	I-3269	1990	-31	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN12138636	KEEP: Assembly Modern	0
GCA_006546725.1_ASM654672v1_genomic	I-3196	1986	-35	Mongolia	Govi-Altai	46.8250388	103.8499736	45.3463139	95.9325806	Ulegeica	0.PE	0.PE5	SAMN12138635	KEEP: Assembly Modern	0
GCA_006546665.1_ASM654666v1_genomic	I-3193	1987	-34	Mongolia	Khovd	46.8250388	103.8499736	48.0552065	91.26731219782693	Ulegeica	0.PE	0.PE5	SAMN12138633	KEEP: Assembly Modern	0
GCA_006517425.1_ASM651742v1_genomic	I-3068	1982	-39	Mongolia	Övörkhangai	46.8250388	103.8499736	45.8297039	102.7237769	Ulegeica	0.PE	0.PE5	SAMN12131171	KEEP: Assembly Modern	0
GCA_000834775.1_ASM83477v1_genomic	Dodson	1967	-54	United States of America	Arizona	39.7837304	-100.4458825	34.395342	-111.763275	Orientalis	1.ORI	1.ORI1	SAMN03161124	KEEP: Assembly Modern	1
GCA_000834335.1_ASM83433v1_genomic	Shasta	1954	-67	United States of America	California	39.7837304	-100.4458825	36.7014631	-118.755997	Orientalis	1.ORI	1.ORI1	SAMN03120838	KEEP: Assembly Modern	1
GCA_000734805.1_ASM73480v1_genomic	231	1947	-74	Kyrgyzstan	Naryn Region	41.5089324	74.724091	41.3564711	75.45197267868437	Antiqua	0.ANT	0.ANT3	SAMN02777961	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0
GCA_000834275.1_ASM83427v1_genomic	Harbin35	1940	-81	China	Heilongjiang	35.000074	104.999927	48.0000047	127.999992	Antiqua	2.ANT	2.ANT3	SAMN02769655	KEEP: Assembly Modern	2
GCA_000169615.1_ASM16961v1_genomic	UG05-0454	2004	-17	Uganda	NA	1.5333554	32.2166578	NA	NA	Antiqua	1.ANT	1.ANT1	SAMN02404404	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	1
GCA_000169635.1_ASM16963v1_genomic	MG05-1020	2005	-16	Madagascar	NA	-18.9249604	46.4416422	NA	NA	Orientalis	1.ORI	1.ORI3	SAMN02404403	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	1
GCA_000169655.1_ASM16965v1_genomic	K1973002	1973	-48	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Medievalis	2.MED	2.MED2	SAMN02404402	KEEP: Assembly Modern Morelli 2010 Keller 2019	2
GCA_000169675.1_ASM16967v1_genomic	B42003004	2003	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT2	SAMN02404401	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	0
GCA_000170275.1_ASM17027v1_genomic	F1991016	1991	-30	China	Yunnan	35.000074	104.999927	25.0	102.0	Orientalis	1.ORI	1.ORI2	SAMN02404399	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	1
GCA_000168235.2_ASM16823v2_genomic	IP275	1995	-26	Madagascar	Province de Fianarantsoa	-18.9249604	46.4416422	-21.743247	46.6145685	Orientalis	1.ORI	1.ORI3	SAMN02404398	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	1
GCA_000182525.1_ASM18252v1_genomic	PEXU2	1966	-55	Brazil	State of Mato Grosso	-10.3333333	-53.2	-12.2115009	-55.5716547	Orientalis	1.ORI	1.ORI1	SAMN02403943	KEEP: Assembly Modern	1
GCA_000182505.1_ASM18250v1_genomic	India195	[1898:1950]	[-123:-71]	India	Maharashtra	22.3511148	78.6677428	18.9068356	75.6741579	Orientalis	1.ORI	1.ORI1	SAMN02403942	KEEP: Assembly Modern Cui 2013 Keller 2019	1
GCA_000324785.1_ASM32478v1_genomic	E1979001	1979	-42	China	Yunnan	35.000074	104.999927	25.0	102.0	Antiqua	1.IN	1.IN3	SAMN02403021	KEEP: Assembly Modern Cui 2013 Keller 2019	1
GCA_006376585.1_ASM637658v1_genomic	C-371	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944228	Caucasica	0.PE	0.PE2	SAMN12012142	KEEP: Assembly Modern	0
GCA_006376575.1_ASM637657v1_genomic	C-284	1971	-50	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12012133	KEEP: Assembly Modern	2
GCA_006376535.1_ASM637653v1_genomic	C-281	1970	-51	Russia	Ingushetia	64.6863136	97.7453061	43.1655309	44.979682	Medievalis	2.MED	2.MED1	SAMN12012131	KEEP: Assembly Modern	2
GCA_006376535.2_ASM637653v2_genomic	C-281	1970	-51	Russia	Ingushetia	64.6863136	97.7453061	43.1655309	44.979682	Medievalis	2.MED	2.MED1	SAMN12012131	KEEP: Assembly Modern	2
GCA_006376545.1_ASM637654v1_genomic	C-273	1969	-52	Armenia	Shirak Province	40.7696272	44.6736646	40.918594	43.8403536	Caucasica	0.PE	0.PE2	SAMN12012010	KEEP: Assembly Modern	0
GCA_006376505.1_ASM637650v1_genomic	C-232	1968	-53	Azerbaijan	Shahbuz Rayon	40.3936294	47.7872508	39.43858165	45.60713327015354	Caucasica	0.PE	0.PE2	SAMN12011946	KEEP: Assembly Modern	0
GCA_006376495.1_ASM637649v1_genomic	C-231	1968	-53	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.705009816557116	Medievalis	2.MED	2.MED1	SAMN12011930	KEEP: Assembly Modern	2
GCA_006376475.1_ASM637647v1_genomic	C-224	1968	-53	Azerbaijan	Baku	40.3936294	47.7872508	40.3754434	49.8326748	Medievalis	2.MED	2.MED1	SAMN12011899	KEEP: Assembly Modern	2
GCA_006376435.1_ASM637643v1_genomic	C-62	1959	-62	Azerbaijan	Shamkir District	40.3936294	47.7872508	40.86764505	46.01391106445903	Medievalis	2.MED	2.MED1	SAMN12011893	KEEP: Assembly Modern	2
GCA_006376415.1_ASM637641v1_genomic	C-11	1950	-71	Russia	Stavropol Krai	64.6863136	97.7453061	44.8632577	43.4406913	Medievalis	2.MED	2.MED1	SAMN12011892	KEEP: Assembly Modern	2
GCA_003086155.1_ASM308615v1_genomic	M-1448	1990	-31	Kazakhstan	West Kazakhstan Region	47.2286086	65.2093197	49.5568479	50.2227409	Medievalis	2.MED	2.MED1	SAMN05017638	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2
GCA_001617725.1_Yersinia_pestis_M-1484_genomic	M-1484	1992	-29	Russia	Astrakhan Oblast	64.6863136	97.7453061	47.1878186	47.608851	Medievalis	2.MED	2.MED1	SAMN04376037	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2
GCA_001617705.1_Yersinia_pestis_C-791_genomic	C-791	2003	-18	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944228	Medievalis	2.MED	2.MED1	SAMN04376023	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2
GCA_000834495.1_ASM83449v1_genomic	El Dorado	2002	-19	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	Orientalis	1.ORI	1.ORI1	SAMN03145064	KEEP: Assembly Modern	1
GCA_000986995.1_YPES001-SEQ-2-ASM-1_genomic	ZE94-2122	1994	-27	Zimbabwe	Midlands	-18.4554963	29.7468414	-19.2785043	29.8790852	Orientalis	1.ORI	1.ORI1	SAMN02999506	KEEP: Assembly Modern	1
GCA_003797205.1_ASM379720v1_genomic	FDAARGOS_605	1969	-52	Bolivia	La Paz	-17.0568696	-64.9912286	-16.4955455	-68.1336229	Orientalis	1.ORI	1.ORI1	SAMN10228585	KEEP: Assembly Modern	1
GCA_003798085.1_ASM379808v1_genomic	FDAARGOS_604	1957	-64	Indonesia	Central Java	-2.4833826	117.8902853	-5.6259648	110.37164897312938	Orientalis	1.ORI	1.ORI1	SAMN10228584	KEEP: Assembly Modern	1
GCA_003798225.1_ASM379822v1_genomic	FDAARGOS_601	1954	-67	Democratic Republic of the Congo	NA	-2.9814344	23.8222636	NA	NA	Antiqua	1.ANT	1.ANT1	SAMN10228581	KEEP: Assembly Modern	1
GCA_900460465.1_57940_B01_genomic	NCTC5923	1939	-82	Indonesia	Central Java	-2.4833826	117.8902853	-5.6259648	110.37164897312938	Orientalis	1.ORI	1.ORI1	SAMEA104281628	KEEP: Assembly Modern	1
GCA_001487065.1_Yersinia_pestis_genomic	Algeria3	[2000:2016]	[-21:-5]	Algeria	MSila	28.0000272	2.9999825	35.1300205	4.200310671358427	Orientalis	1.ORI	1.ORI1	SAMEA3673143	KEEP: Assembly Modern Correct biovar (1.ORI) according to publication	1
